"","n","date","vcrix"
"563","563",2016-06-12,526.399744312206
"564","564",2016-06-13,708.980172849291
"565","565",2016-06-14,736.569843792366
"566","566",2016-06-15,750.021235029902
"567","567",2016-06-16,755.683195787228
"568","568",2016-06-17,853.71898312991
"569","569",2016-06-18,914.002572267782
"570","570",2016-06-19,925.225500972924
"571","571",2016-06-20,924.704365934312
"572","572",2016-06-21,961.599562136996
"573","573",2016-06-22,1061.83504908182
"574","574",2016-06-23,1193.99110635098
"575","575",2016-06-24,1224.22274220711
"576","576",2016-06-25,1257.82559329602
"577","577",2016-06-26,1275.83414641123
"578","578",2016-06-27,1314.26141158041
"579","579",2016-06-28,1235.77346580696
"580","580",2016-06-29,1221.95622802454
"581","581",2016-06-30,1216.8316150447
"582","582",2016-07-01,1216.8316150447
"583","583",2016-07-02,1207.0865185721
"584","584",2016-07-03,1195.32328128208
"585","585",2016-07-04,1183.10898358503
"586","586",2016-07-05,1175.73774451332
"587","587",2016-07-06,1178.78979765225
"588","588",2016-07-07,1171.81321642522
"589","589",2016-07-08,1207.00670746969
"590","590",2016-07-09,1226.19082902561
"591","591",2016-07-10,1225.66331649424
"592","592",2016-07-11,1222.55368228324
"593","593",2016-07-12,1213.44179681701
"594","594",2016-07-13,1093.15516919522
"595","595",2016-07-14,1060.61000942708
"596","596",2016-07-15,1060.96960876715
"597","597",2016-07-16,1061.66859510695
"598","598",2016-07-17,939.554022305336
"599","599",2016-07-18,919.965504280262
"600","600",2016-07-19,920.09780354495
"601","601",2016-07-20,922.667429947032
"602","602",2016-07-21,909.360999756228
"603","603",2016-07-22,822.356195851123
"604","604",2016-07-23,650.163776792944
"605","605",2016-07-24,615.081620725114
"606","606",2016-07-25,565.114269449236
"607","607",2016-07-26,564.932651292261
"608","608",2016-07-27,527.812112534627
"609","609",2016-07-28,507.01222056962
"610","610",2016-07-29,512.235514386404
"611","611",2016-07-30,519.527187412844
"612","612",2016-07-31,471.840391199079
"613","613",2016-08-01,471.840391199079
"614","614",2016-08-02,488.398621818949
"615","615",2016-08-03,885.932592667535
"616","616",2016-08-04,998.276212744525
"617","617",2016-08-05,957.789284682814
"618","618",2016-08-06,934.603170578814
"619","619",2016-08-07,895.91363908787
"620","620",2016-08-08,861.305447022244
"621","621",2016-08-09,854.056877386614
"622","622",2016-08-10,855.039799731211
"623","623",2016-08-11,858.914383093089
"624","624",2016-08-12,835.840396286857
"625","625",2016-08-13,838.087194352333
"626","626",2016-08-14,839.816690401442
"627","627",2016-08-15,843.780169945474
"628","628",2016-08-16,843.320536626615
"629","629",2016-08-17,841.408324455906
"630","630",2016-08-18,843.415332637362
"631","631",2016-08-19,842.283453857867
"632","632",2016-08-20,844.060269274561
"633","633",2016-08-21,846.398599587594
"634","634",2016-08-22,841.722211988927
"635","635",2016-08-23,843.017597288195
"636","636",2016-08-24,842.200949741896
"637","637",2016-08-25,841.70306164909
"638","638",2016-08-26,835.658468967208
"639","639",2016-08-27,833.160685719673
"640","640",2016-08-28,832.859630535436
"641","641",2016-08-29,833.31728817749
"642","642",2016-08-30,831.79014802988
"643","643",2016-08-31,809.930019135732
"644","644",2016-09-01,809.930019135732
"645","645",2016-09-02,426.369100681119
"646","646",2016-09-03,113.315755139631
"647","647",2016-09-04,187.541582983169
"648","648",2016-09-05,231.499703100963
"649","649",2016-09-06,242.966591312474
"650","650",2016-09-07,261.715407800432
"651","651",2016-09-08,278.543145296987
"652","652",2016-09-09,286.346274376717
"653","653",2016-09-10,279.854764111971
"654","654",2016-09-11,268.598088966834
"655","655",2016-09-12,311.878478084823
"656","656",2016-09-13,307.635813758772
"657","657",2016-09-14,282.029165031436
"658","658",2016-09-15,272.127903333583
"659","659",2016-09-16,269.602274875848
"660","660",2016-09-17,267.452937277501
"661","661",2016-09-18,267.272378549014
"662","662",2016-09-19,266.775298411479
"663","663",2016-09-20,253.040013990196
"664","664",2016-09-21,240.349529990475
"665","665",2016-09-22,263.300551456984
"666","666",2016-09-23,257.715862779582
"667","667",2016-09-24,258.957147266357
"668","668",2016-09-25,255.207451024416
"669","669",2016-09-26,253.253450961708
"670","670",2016-09-27,238.669312577043
"671","671",2016-09-28,234.999182769368
"672","672",2016-09-29,231.360564875591
"673","673",2016-09-30,233.410397997975
"674","674",2016-10-01,233.410397997975
"675","675",2016-10-02,249.31822284684
"676","676",2016-10-03,253.97176019744
"677","677",2016-10-04,217.849813788469
"678","678",2016-10-05,202.034680216592
"679","679",2016-10-06,201.346655425538
"680","680",2016-10-07,201.379355028514
"681","681",2016-10-08,201.829332842665
"682","682",2016-10-09,193.03516816294
"683","683",2016-10-10,193.37436268733
"684","684",2016-10-11,191.18625445336
"685","685",2016-10-12,204.667834583306
"686","686",2016-10-13,208.142799219478
"687","687",2016-10-14,207.871955449635
"688","688",2016-10-15,208.513722622468
"689","689",2016-10-16,209.228458841715
"690","690",2016-10-17,209.091647441562
"691","691",2016-10-18,209.950913502761
"692","692",2016-10-19,209.566295225639
"693","693",2016-10-20,215.920861438398
"694","694",2016-10-21,213.612399033988
"695","695",2016-10-22,186.873922368029
"696","696",2016-10-23,219.705720275805
"697","697",2016-10-24,215.803272478202
"698","698",2016-10-25,215.295736160038
"699","699",2016-10-26,214.850339765884
"700","700",2016-10-27,239.472808374875
"701","701",2016-10-28,239.691039071482
"702","702",2016-10-29,236.973904104038
"703","703",2016-10-30,240.90569296204
"704","704",2016-10-31,234.518315415428
"705","705",2016-11-01,234.518315415428
"706","706",2016-11-02,296.671595924441
"707","707",2016-11-03,297.625659008479
"708","708",2016-11-04,433.180411144368
"709","709",2016-11-05,433.823696865793
"710","710",2016-11-06,425.442234925884
"711","711",2016-11-07,421.744580129587
"712","712",2016-11-08,419.855461307545
"713","713",2016-11-09,415.018416918346
"714","714",2016-11-10,413.60032693213
"715","715",2016-11-11,386.207248846965
"716","716",2016-11-12,384.862871464832
"717","717",2016-11-13,398.72176353579
"718","718",2016-11-14,398.63084518909
"719","719",2016-11-15,397.884332775766
"720","720",2016-11-16,398.949334503112
"721","721",2016-11-17,419.201432185053
"722","722",2016-11-18,420.004547238549
"723","723",2016-11-19,412.998430688018
"724","724",2016-11-20,412.606056756712
"725","725",2016-11-21,436.178508825053
"726","726",2016-11-22,420.377076369449
